### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher pval	Gene frac	N. rea	N. used	Cod. count	Sub. count	G. len	codon_lik	id	prediction	probability
Bfloridae	ATT	I	L	0.0	0.24210523045	0.5	0.0714285714286	0.785714285714	0.583333333333	0.0833333333333	321.0	1.83673469388	5.0	0.0	0.011
Bfloridae	ATA	I	L	0.0	0.24210523045	0.5	0.2	0.4	0.208333333333	0.0833333333333	321.0	1.52459016393	4.0	0.0	0.326
Katharina	ATT	I	L	0.0	0.785685863225	0.8	0.142857142857	0.803571428571	0.746666666667	0.146666666667	976.0	2.06139677667	5.0	0.0	0.009
Katharina	ATC	I	L	0.0	0.785685863225	0.5	0.125	0.75	0.106666666667	0.146666666667	976.0	1.67346938776	7.0	0.0	0.013
Katharina	ATA	I	L	0.0	0.785685863225	0.333333333333	0.181818181818	0.636363636364	0.146666666667	0.146666666667	976.0	2.19083969466	4.0	0.0	0.167
Geodia	ATT	I	L	0.0	0.378094694276	0.8	0.142857142857	0.8	0.472972972973	0.202702702703	979.0	2.05795314427	5.0	0.0	0.009
Geodia	ATA	I	L	0.0	0.378094694276	0.8	0.27027027027	0.621621621622	0.5	0.202702702703	979.0	1.94718714122	4.0	0.0	0.155
Metridium	ATT	I	L	0.0	0.487689611565	0.8	0.139534883721	0.720930232558	0.605633802817	0.154929577465	979.0	1.85813492063	5.0	0.0	0.009
Metridium	ATC	I	L	0.0	0.487689611565	0.25	0.0909090909091	0.818181818182	0.154929577465	0.154929577465	979.0	1.86166007905	7.0	0.0	0.005
Metridium	ATA	I	L	0.0	0.487689611565	0.4	0.235294117647	0.588235294118	0.239436619718	0.154929577465	979.0	1.93893129771	4.0	0.0	0.185
Acropora	ATT	I	L	0.0	0.35173427527	0.4	0.0857142857143	0.828571428571	0.530303030303	0.121212121212	978.0	1.91165644172	5.0	0.0	0.001
Acropora	ATA	I	L	0.0	0.35173427527	0.6	0.2	0.76	0.378787878788	0.121212121212	978.0	2.10562180579	4.0	0.0	0.185
Trichinella	ATT	I	L	0.0	0.0461244493776	0.75	0.192307692308	0.538461538462	0.247619047619	0.219047619048	866.0	1.90640394089	5.0	0.0	0.153
Trichinella	ATC	I	L	0.0	0.0461244493776	0.6	0.171428571429	0.428571428571	0.333333333333	0.219047619048	866.0	1.31355932203	7.0	0.0	0.15
Trichinella	ATA	I	L	0.0	0.0461244493776	1.0	0.272727272727	0.159090909091	0.419047619048	0.219047619048	866.0	1.4110787172	4.0	0.0	0.39
Balanoglossus	ATT	I	L	0.0	0.831070831571	0.2	0.0588235294118	0.882352941176	0.314814814815	0.037037037037	978.0	1.97215189873	5.0	0.0	0.005
Balanoglossus	ATC	I	L	0.0	0.831070831571	0.2	0.0344827586207	0.931034482759	0.537037037037	0.037037037037	978.0	1.9298245614	7.0	0.0	0.005
Drosophila	ATT	I	L	0.0	0.00315128109445	0.4	0.0952380952381	0.793650793651	0.707865168539	0.134831460674	979.0	1.91327913279	5.0	0.0	0.145
Drosophila	ATA	I	L	0.0	0.00315128109445	0.833333333333	0.272727272727	0.227272727273	0.247191011236	0.134831460674	979.0	2.11764705882	4.0	0.0	0.388
Myxine	ATT	I	L	0.0	0.0246386801428	0.6	0.0967741935484	0.677419354839	0.303921568627	0.196078431373	979.0	1.71549295775	5.0	0.0	0.14
Myxine	ATC	I	L	0.0	0.0246386801428	0.6	0.204545454545	0.590909090909	0.43137254902	0.196078431373	979.0	1.92599805258	7.0	0.0	0.154
Myxine	ATA	I	L	0.0	0.0246386801428	0.8	0.296296296296	0.259259259259	0.264705882353	0.196078431373	979.0	1.95768025078	4.0	0.0	0.367
Ciona	ATT	I	L	0.0	0.000779761629598	0.6	0.140350877193	0.719298245614	0.587628865979	0.226804123711	958.0	1.88020833333	5.0	0.0	0.159
Ciona	ATC	I	L	0.0	0.000779761629598	0.5	0.285714285714	0.428571428571	0.0721649484536	0.226804123711	958.0	0.77245508982	7.0	0.0	0.212
Ciona	ATA	I	L	0.0	0.000779761629598	1.0	0.363636363636	0.242424242424	0.340206185567	0.226804123711	958.0	1.69649805447	4.0	0.0	0.391
Saccoglossus	ATT	I	L	0.0	0.107389037853	0.25	0.030303030303	0.848484848485	0.5	0.0757575757576	978.0	1.84605433376	5.0	0.0	0.043
Saccoglossus	ATC	I	L	0.0	0.107389037853	0.5	0.2	0.666666666667	0.227272727273	0.0757575757576	978.0	1.78531073446	7.0	0.0	0.069
Saccoglossus	ATA	I	L	0.0	0.107389037853	0.2	0.0555555555556	0.888888888889	0.272727272727	0.0757575757576	978.0	1.96163069544	4.0	0.0	0.385
Daphnia	ATT	I	L	0.0	0.328678424021	0.4	0.0769230769231	0.846153846154	0.534246575342	0.109589041096	979.0	1.95934065934	5.0	0.0	0.001
Daphnia	ATC	I	L	0.0	0.328678424021	0.666666666667	0.142857142857	0.714285714286	0.383561643836	0.109589041096	979.0	2.05182926829	7.0	0.0	0.009
Daphnia	ATA	I	L	0.0	0.328678424021	0.333333333333	0.166666666667	0.5	0.0821917808219	0.109589041096	979.0	2.08510638298	4.0	0.0	0.176
Homo	ATT	I	L	0.0	0.0183327758286	0.6	0.107142857143	0.714285714286	0.297872340426	0.127659574468	978.0	1.92769230769	5.0	0.0	0.14
Homo	ATC	I	L	0.0	0.0183327758286	0.4	0.0833333333333	0.729166666667	0.510638297872	0.127659574468	978.0	1.77758007117	7.0	0.0	0.132
Homo	ATA	I	L	0.0	0.0183327758286	0.75	0.277777777778	0.277777777778	0.191489361702	0.127659574468	978.0	2.17191283293	4.0	0.0	0.377
Blanceolatum	ATC	I	L	0.0	0.0733082648359	1.0	0.285714285714	0.571428571429	0.291666666667	0.125	321.0	1.94152046784	7.0	0.0	0.255
Blanceolatum	ATA	I	L	0.0	0.0733082648359	0.5	0.25	0.5	0.166666666667	0.125	321.0	1.80208333333	4.0	0.0	0.416
Epigonichthys	ATT	I	L	0.0	0.00391445912921	0.8	0.128205128205	0.794871794872	0.513157894737	0.131578947368	978.0	1.97907488987	5.0	0.0	0.153
Epigonichthys	ATA	I	L	0.0	0.00391445912921	0.5	0.277777777778	0.333333333333	0.236842105263	0.131578947368	978.0	2.01678657074	4.0	0.0	0.399
