### Random Forest prediction
genome	codon	ori_aa	rea_aa	fitch	Fisher_pval	Gene_frac	N._rea	N._used	Cod._count	Sub._count	G._len	codon_lik	id	prediction	probability	clad_valid	trans_valid
LanspB	ATT	I	L	0.0	0.799516318235	0.571428571429	0.093023255814	0.875968992248	0.934782608696	0.0942028985507	1429.0	2.04091044332	5.0	0.0	0.0	0	0
LanspB	ATC	I	L	0.0	0.799516318235	0.2	0.111111111111	0.888888888889	0.0652173913043	0.0942028985507	1429.0	2.2034261242	7.0	0.0	0.0	0	0
CphanA	ATT	I	L	0.0	0.652011883164	0.416666666667	0.141025641026	0.769230769231	0.357798165138	0.128440366972	2247.0	2.00320512821	5.0	0.0	0.0	0	0
CphanA	ATC	I	L	0.0	0.652011883164	0.5	0.178571428571	0.821428571429	0.128440366972	0.128440366972	2247.0	2.27615062762	7.0	0.0	0.0	0	0
CphanA	ATA	I	L	0.0	0.652011883164	0.583333333333	0.107142857143	0.75	0.51376146789	0.128440366972	2247.0	1.97757491566	4.0	0.0	0.06	0	1
LanspA	ATT	I	L	0.0	0.807069688289	0.428571428571	0.070796460177	0.893805309735	0.84962406015	0.0676691729323	1429.0	2.03038253216	5.0	0.0	0.0	0	0
LanspA	ATC	I	L	0.0	0.807069688289	0.142857142857	0.05	0.85	0.15037593985	0.0676691729323	1429.0	2.02478134111	7.0	0.0	0.0	0	0
CsojaA	ATT	I	L	0.0	0.921326902542	0.25	0.051724137931	0.931034482759	0.376623376623	0.0454545454545	1498.0	1.92904698497	5.0	0.0	0.0	0	0
CsojaA	ATA	I	L	0.0	0.921326902542	0.375	0.0481927710843	0.915662650602	0.538961038961	0.0454545454545	1498.0	1.92632690784	4.0	0.0	0.225	0	1
CglabA	ATT	I	L	0.0	0.808064230742	0.428571428571	0.0944881889764	0.850393700787	0.907142857143	0.0928571428571	1413.0	1.99435028249	5.0	0.0	0.0	0	0
CglabA	ATC	I	L	0.0	0.808064230742	0.25	0.0769230769231	0.923076923077	0.0928571428571	0.0928571428571	1413.0	2.14006024096	7.0	0.0	0.0	0	0
ScryoA	ATT	I	L	0.0	0.597046926604	1.0	0.126126126126	0.63963963964	0.816176470588	0.125	1424.0	1.75666551247	5.0	0.0	0.034	0	0
ScryoA	ATC	I	L	0.0	0.597046926604	0.6	0.12	0.52	0.183823529412	0.125	1424.0	1.88360593382	7.0	0.0	0.0	0	0
CneerA	ATT	I	L	0.0	0.708887325153	0.307692307692	0.0618556701031	0.886597938144	0.399176954733	0.0493827160494	2249.0	1.93319483927	5.0	0.0	0.0	0	0
CneerA	ATC	I	L	0.0	0.708887325153	0.1	0.0217391304348	0.847826086957	0.189300411523	0.0493827160494	2249.0	1.81162944948	7.0	0.0	0.0	0	0
CneerA	ATA	I	L	0.0	0.708887325153	0.384615384615	0.05	0.93	0.411522633745	0.0493827160494	2249.0	1.95735027223	4.0	0.0	0.211	0	1
CsakeA	ATT	I	L	0.0	0.86190044642	0.272727272727	0.0508474576271	0.915254237288	0.25652173913	0.0652173913043	2207.0	1.98581818182	5.0	0.0	0.0	0	0
CsakeA	ATC	I	L	0.0	0.86190044642	0.166666666667	0.0666666666667	0.933333333333	0.0652173913043	0.0652173913043	2207.0	2.06564986737	7.0	0.0	0.0	0	0
CsakeA	ATA	I	L	0.0	0.86190044642	0.5	0.0705128205128	0.897435897436	0.678260869565	0.0652173913043	2207.0	1.99729579809	4.0	0.0	0.201	0	1
HuvarA	ATT	I	L	0.0	0.348807557616	1.0	0.2	0.631578947368	0.748031496063	0.181102362205	1361.0	1.93763874874	5.0	0.0	0.034	0	0
HuvarA	ATC	I	L	0.0	0.348807557616	0.666666666667	0.129032258065	0.709677419355	0.244094488189	0.181102362205	1361.0	1.84867201977	7.0	0.0	0.0	0	0
CjiufA	ATT	I	L	0.0	0.54774685897	0.153846153846	0.0238095238095	0.936507936508	0.540772532189	0.0300429184549	2231.0	1.93914317731	5.0	0.0	0.0	0	0
CjiufA	ATC	I	L	0.0	0.54774685897	0.25	0.0508474576271	0.932203389831	0.25321888412	0.0300429184549	2231.0	1.98080279232	7.0	0.0	0.0	0	0
CjiufA	ATA	I	L	0.0	0.54774685897	0.0909090909091	0.0208333333333	0.916666666667	0.206008583691	0.0300429184549	2231.0	1.85356360983	4.0	0.0	0.286	0	1
KlactA	ATT	I	L	0.0	0.703692200555	0.714285714286	0.0725806451613	0.903225806452	0.925373134328	0.0671641791045	1408.0	2.02932301741	5.0	0.0	0.0	0	0
CzempA	ATT	I	L	0.0	0.254637604709	1.0	0.256756756757	0.554054054054	0.432748538012	0.198830409357	1428.0	2.05681965934	5.0	0.0	0.034	0	0
CzempA	ATC	I	L	0.0	0.254637604709	0.25	0.166666666667	0.833333333333	0.0350877192982	0.198830409357	1428.0	2.49920508744	7.0	0.0	0.0	0	0
CzempA	ATA	I	L	0.0	0.254637604709	0.714285714286	0.153846153846	0.626373626374	0.53216374269	0.198830409357	1428.0	1.83174603175	4.0	0.0	0.074	0	1
CmetaB	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaB	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaB	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
CmetaC	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaC	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaC	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
CmetaA	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaA	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaA	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
CmetaF	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaF	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaF	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
CfrijA	ATT	I	L	0.0	0.277087552661	0.181818181818	0.0337078651685	0.910112359551	0.356	0.052	2249.0	1.94902969371	5.0	0.0	0.0	0	0
CfrijA	ATA	I	L	0.0	0.277087552661	0.307692307692	0.0724637681159	0.855072463768	0.552	0.052	2249.0	1.93603706112	4.0	0.0	0.217	0	1
CmetaD	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaD	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaD	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
CmetaE	ATT	I	L	0.0	0.915084180565	0.0769230769231	0.0229007633588	0.931297709924	0.555084745763	0.021186440678	2250.0	1.95131356953	5.0	0.0	0.0	0	0
CmetaE	ATC	I	L	0.0	0.915084180565	0.0909090909091	0.0204081632653	0.979591836735	0.207627118644	0.021186440678	2250.0	1.95095902354	7.0	0.0	0.0	0	0
CmetaE	ATA	I	L	0.0	0.915084180565	0.1	0.0178571428571	0.982142857143	0.237288135593	0.021186440678	2250.0	1.94548911895	4.0	0.0	0.346	0	1
PpastA	ATT	I	L	0.0	0.407589262739	0.333333333333	0.078125	0.84375	0.296296296296	0.101851851852	2248.0	1.98250679348	5.0	0.0	0.0	0	0
PpastA	ATA	I	L	0.0	0.407589262739	0.769230769231	0.121428571429	0.8	0.648148148148	0.101851851852	2248.0	1.9430583193	4.0	0.0	0.068	0	1
SjapoA	ATT	I	L	0.0	0.534840042982	0.857142857143	0.173076923077	0.605769230769	0.654088050314	0.194968553459	1423.0	1.83191331728	5.0	0.0	0.0	0	0
SjapoA	ATC	I	L	0.0	0.534840042982	0.571428571429	0.266666666667	0.533333333333	0.188679245283	0.194968553459	1423.0	2.14143681847	7.0	0.0	0.0	0	0
SjapoA	ATA	I	L	0.0	0.534840042982	0.6	0.2	0.64	0.157232704403	0.194968553459	1423.0	2.04988662132	4.0	0.0	0.076	0	1
CalbiE	ATT	I	L	0.0	0.922203448185	0.2	0.03125	0.9375	0.258064516129	0.0403225806452	1183.0	1.92091603053	5.0	0.0	0.0	0	0
CalbiE	ATC	I	L	0.0	0.922203448185	0.25	0.030303030303	0.909090909091	0.266129032258	0.0403225806452	1183.0	1.95633561644	7.0	0.0	0.0	0	0
CalbiE	ATA	I	L	0.0	0.922203448185	0.333333333333	0.0508474576271	0.932203389831	0.475806451613	0.0403225806452	1183.0	1.9241126071	4.0	0.0	0.294	0	1
CalbiD	ATT	I	L	0.0	0.610875480212	0.111111111111	0.0178571428571	0.982142857143	0.259259259259	0.0277777777778	2058.0	1.98607023739	5.0	0.0	0.0	0	0
CalbiD	ATC	I	L	0.0	0.610875480212	0.111111111111	0.0166666666667	0.933333333333	0.277777777778	0.0277777777778	2058.0	1.92862190813	7.0	0.0	0.0	0	0
CalbiD	ATA	I	L	0.0	0.610875480212	0.272727272727	0.04	0.94	0.462962962963	0.0277777777778	2058.0	1.92251004913	4.0	0.0	0.31	0	1
CalbiC	ATT	I	L	0.0	0.710617314877	0.1	0.016393442623	0.967213114754	0.262931034483	0.0258620689655	2250.0	1.92295402095	5.0	0.0	0.0	0	0
CalbiC	ATC	I	L	0.0	0.710617314877	0.0909090909091	0.0161290322581	0.951612903226	0.26724137931	0.0258620689655	2250.0	1.98205659075	7.0	0.0	0.0	0	0
CalbiC	ATA	I	L	0.0	0.710617314877	0.25	0.0366972477064	0.94495412844	0.469827586207	0.0258620689655	2250.0	1.90277215702	4.0	0.0	0.331	0	1
CalbiB	ATT	I	L	0.0	0.710617314877	0.1	0.016393442623	0.967213114754	0.262931034483	0.0258620689655	2250.0	1.92295402095	5.0	0.0	0.0	0	0
CalbiB	ATC	I	L	0.0	0.710617314877	0.0909090909091	0.0161290322581	0.951612903226	0.26724137931	0.0258620689655	2250.0	1.98205659075	7.0	0.0	0.0	0	0
CalbiB	ATA	I	L	0.0	0.710617314877	0.25	0.0366972477064	0.94495412844	0.469827586207	0.0258620689655	2250.0	1.90277215702	4.0	0.0	0.331	0	1
CalbiA	ATT	I	L	0.0	0.611709599302	0.111111111111	0.0175438596491	0.964912280702	0.263888888889	0.0277777777778	2058.0	1.93101471431	5.0	0.0	0.0	0	0
CalbiA	ATC	I	L	0.0	0.611709599302	0.1	0.0166666666667	0.95	0.277777777778	0.0277777777778	2058.0	1.9853466762	7.0	0.0	0.0	0	0
CalbiA	ATA	I	L	0.0	0.611709599302	0.272727272727	0.040404040404	0.939393939394	0.458333333333	0.0277777777778	2058.0	1.91828005403	4.0	0.0	0.31	0	1
MmagnB	ATT	I	L	0.0	0.504141412288	0.3	0.0731707317073	0.731707317073	0.190697674419	0.13023255814	2249.0	1.83477188656	5.0	0.0	0.0	0	0
MmagnB	ATC	I	L	0.0	0.504141412288	0.923076923077	0.14367816092	0.804597701149	0.809302325581	0.13023255814	2249.0	2.13078496548	7.0	0.0	0.006	0	0
MmagnA	ATT	I	L	0.0	0.145752604862	0.2	0.0454545454545	0.75	0.203703703704	0.12962962963	2249.0	1.79339227548	5.0	0.0	0.0	0	0
MmagnA	ATC	I	L	0.0	0.145752604862	0.923076923077	0.151162790698	0.796511627907	0.796296296296	0.12962962963	2249.0	2.13944788442	7.0	0.0	0.006	0	0
CparaA	ATT	I	L	1.0	0.40349579513	0.0833333333333	0.00793650793651	0.984126984127	0.649484536082	0.0103092783505	1816.0	1.98651842773	5.0	0.0	0.0	0	0
CparaA	ATA	I	L	1.0	0.40349579513	0.111111111111	0.0192307692308	0.961538461538	0.268041237113	0.0103092783505	1816.0	1.90850760456	4.0	0.0	0.393	0	1
CcoryA	ATT	I	L	0.0	0.261134076627	0.307692307692	0.0666666666667	0.853333333333	0.373134328358	0.0398009950249	2250.0	1.94593450028	5.0	0.0	0.0	0	0
CcoryA	ATA	I	L	0.0	0.261134076627	0.272727272727	0.032967032967	0.923076923077	0.452736318408	0.0398009950249	2250.0	1.85248845562	4.0	0.0	0.236	0	1
CparaC	ATT	I	L	0.0	0.878279737954	0.153846153846	0.0263157894737	0.953947368421	0.652360515021	0.0214592274678	2250.0	1.98886476644	5.0	0.0	0.0	0	0
CparaC	ATA	I	L	0.0	0.878279737954	0.1	0.015873015873	0.968253968254	0.270386266094	0.0214592274678	2250.0	1.84327118331	4.0	0.0	0.314	0	1
CparaB	ATT	I	L	0.0	0.878279737954	0.153846153846	0.0263157894737	0.953947368421	0.652360515021	0.0214592274678	2250.0	1.98886476644	5.0	0.0	0.0	0	0
CparaB	ATA	I	L	0.0	0.878279737954	0.1	0.015873015873	0.968253968254	0.270386266094	0.0214592274678	2250.0	1.84327118331	4.0	0.0	0.314	0	1
CparaE	ATT	I	L	0.0	0.878279737954	0.153846153846	0.0263157894737	0.953947368421	0.652360515021	0.0214592274678	2250.0	1.98886476644	5.0	0.0	0.0	0	0
CparaE	ATA	I	L	0.0	0.878279737954	0.1	0.015873015873	0.968253968254	0.270386266094	0.0214592274678	2250.0	1.84327118331	4.0	0.0	0.314	0	1
CparaD	ATT	I	L	0.0	0.878279737954	0.153846153846	0.0263157894737	0.953947368421	0.652360515021	0.0214592274678	2250.0	1.98886476644	5.0	0.0	0.0	0	0
CparaD	ATA	I	L	0.0	0.878279737954	0.1	0.015873015873	0.968253968254	0.270386266094	0.0214592274678	2250.0	1.84327118331	4.0	0.0	0.314	0	1
CparaF	ATT	I	L	0.0	0.878279737954	0.153846153846	0.0263157894737	0.953947368421	0.652360515021	0.0214592274678	2250.0	1.98886476644	5.0	0.0	0.0	0	0
CparaF	ATA	I	L	0.0	0.878279737954	0.1	0.015873015873	0.968253968254	0.270386266094	0.0214592274678	2250.0	1.84327118331	4.0	0.0	0.314	0	1
MtetrA	ATT	I	L	0.0	0.882285657712	0.375	0.0909090909091	0.787878787879	0.165	0.115	2248.0	1.8182374541	5.0	0.0	0.0	0	0
MtetrA	ATC	I	L	0.0	0.882285657712	0.923076923077	0.119760479042	0.808383233533	0.835	0.115	2248.0	2.11796973102	7.0	0.0	0.006	0	0
CsaraA	ATT	I	L	0.0	0.142215670925	0.272727272727	0.101449275362	0.869565217391	0.282786885246	0.0614754098361	2249.0	2.08280051151	5.0	0.0	0.0	0	0
